epoch	learning_rate	train_mse	test_mse	test_mae
95	0.0002352417746	0.09098362191	0.4192803966	0.5032204204
96	0.0002339726601	0.08993116885	0.4150564512	0.4971238984
97	0.0002326948853	0.08954401843	0.415993566	0.5077799373
98	0.0002314085903	0.1028808645	0.383573744	0.4821453518
99	0.0002301139164	0.1015248304	0.4259441747	0.503320694
100	0.0002288110053	0.08571302659	0.437976159	0.5127959092
101	0.0002275	0.08568014426	0.4033782668	0.4968896972
102	0.0002261810443	0.07993709666	0.4188992315	0.5031039026
103	0.0002248542827	0.07015448864	0.4135694981	0.5002510601
104	0.0002235198609	0.06944936722	0.4209800561	0.5029265987
105	0.0002221779251	0.07169628071	0.4067394998	0.4984146118
106	0.0002208286225	0.06944826302	0.4295272456	0.5130826208
107	0.000219472101	0.07377582627	0.4110346609	0.5045538902
108	0.0002181085094	0.07044251009	0.4416984452	0.520357932
109	0.0002167379973	0.07101104592	0.3977550957	0.4978988806
110	0.0002153607149	0.06521814092	0.411702421	0.508663559
111	0.0002139768132	0.07232048909	0.3807427539	0.4811040348
112	0.0002125864441	0.09655023743	0.4153614018	0.5104012489
113	0.00021118976	0.09630301358	0.4135244899	0.5011949168
114	0.0002097869141	0.08587275161	0.3915689521	0.4901550187
115	0.0002083780601	0.07392715744	0.4133895953	0.5031116221
116	0.0002069633527	0.07187308535	0.3823929416	0.4863850064
117	0.0002055429469	0.06175110533	0.3903309663	0.4929990662
118	0.0002041169984	0.05800138164	0.4027873622	0.5035467466
119	0.0002026856638	0.05475047473	0.3901208374	0.4883537504
120	0.0002012490998	0.05519371736	0.407310568	0.5025798162
121	0.0001998074642	0.05407271458	0.4106223848	0.5006166882
122	0.0001983609149	0.05345645204	0.3978788429	0.4989175797
123	0.0001969096106	0.05003280858	0.407274686	0.5016758654
124	0.0001954537104	0.04686718705	0.4047403415	0.5007901086
125	0.000193993374	0.04491119247	0.4137371328	0.5096775479
126	0.0001925287615	0.05790196693	0.3897479534	0.4855963336
127	0.0001910600336	0.05712317932	0.390774658	0.4881151729
128	0.0001895873513	0.05133077272	0.4164501243	0.5048254437
129	0.0001881108762	0.05743111276	0.407080645	0.5013490624
130	0.00018663077	0.05578414889	0.4140068822	0.5095705138
131	0.0001851471952	0.05114520524	0.3857062393	0.4882370949
132	0.0001836603144	0.04753763824	0.4091999637	0.5007476489
133	0.0001821702906	0.06085101255	0.3843827671	0.4977168348
134	0.0001806772873	0.05356094926	0.4001346005	0.5066862318
135	0.0001791814683	0.04746698533	0.3838419994	0.4895838949
136	0.0001776829974	0.04750403281	0.4006935226	0.5009572718
137	0.0001761820391	0.04298827911	0.3980875439	0.4984577444
138	0.000174678758	0.03926594532	0.3896509435	0.493723864
139	0.0001731733189	0.03655337883	0.3860833406	0.4907678551
140	0.0001716658868	0.04543824285	0.4210670047	0.5116100523
141	0.0001701566272	0.04016418696	0.4157786846	0.5063552856
142	0.0001686457054	0.04158685737	0.3916163418	0.4919706451
143	0.0001671332873	0.03736006427	0.3862890614	0.4932559437
144	0.0001656195386	0.03263249235	0.3958071921	0.4977864689
145	0.0001641046253	0.03034952096	0.3904509306	0.4950880051
146	0.0001625887137	0.02859604092	0.3841361311	0.4913011286
147	0.0001610719698	0.02890765016	0.3926915063	0.4966512309
148	0.0001595545601	0.02658117923	0.3853990237	0.4911632167
149	0.0001580366509	0.02683179733	0.4021709442	0.5033117506
150	0.0001565184087	0.02540799553	0.3962856929	0.4987663587
151	0.000155	0.02550341201	0.3977400197	0.5017505858
152	0.0001534815913	0.02431484009	0.3952093283	0.4982924355
153	0.0001519633491	0.02963620756	0.4047182375	0.5033015198
154	0.0001504454399	0.02610104918	0.3910044617	0.4934808943
155	0.0001489280302	0.02469156188	0.3951484892	0.4983233505
156	0.0001474112863	0.02333600377	0.3947653876	0.5002188894
157	0.0001458953747	0.02158027216	0.3847226434	0.4930188815
158	0.0001443804614	0.0231379991	0.3879223373	0.4972410732
159	0.0001428667127	0.02145136549	0.3795182387	0.4881863276
160	0.0001413542946	0.01942710208	0.3909374078	0.4964875539
161	0.0001398433728	0.01920166188	0.3979828119	0.5027930895
162	0.0001383341132	0.02217827045	0.3889652941	0.4916683356
163	0.0001368266811	0.0210179444	0.3743790785	0.4849094868
164	0.000135321242	0.04709013968	0.4179791715	0.5139937507
165	0.0001338179609	0.04252542194	0.3741175016	0.4849591838
166	0.0001323170026	0.04229403439	0.3822686513	0.4886107339
167	0.0001308185317	0.04363519202	0.4008093172	0.5079997487
168	0.0001293227127	0.03427597566	0.3713502089	0.4873391363
169	0.0001278297094	0.03053793486	0.3836292002	0.4933907297
170	0.0001263396856	0.02491262034	0.3721291648	0.4848101828
171	0.0001248528048	0.02233457172	0.3775012626	0.4889060974
172	0.00012336923	0.02215950375	0.3716979663	0.485613664
173	0.0001218891238	0.0225421562	0.3972946114	0.5025141239
174	0.0001204126487	0.02404777401	0.3757358604	0.4857741992
175	0.0001189399664	0.02207144006	0.3866410149	0.5003847122
176	0.0001174712385	0.01964101162	0.3766344441	0.4894919078
177	0.000116006626	0.01947917524	0.3904792388	0.501346461
178	0.0001145462896	0.01813614431	0.3774979618	0.4899255964
179	0.0001130903894	0.01626922866	0.3767065922	0.4915048069
180	0.0001116390851	0.01533000455	0.3863906172	0.4962143474
181	0.0001101925358	0.0153113408	0.3791146543	0.488921335
182	0.0001087509002	0.01453280773	0.3848623514	0.4935879072
183	0.0001073143362	0.01400616887	0.38057509	0.4906131426
184	0.0001058830016	0.0136723664	0.3852965169	0.495658048
185	0.0001044570531	0.01353186634	0.3825953457	0.4929918713
186	0.0001030366473	0.01351047124	0.380464477	0.4923950672
187	0.0001016219399	0.01328565422	0.3816864173	0.4940247801
188	0.0001002130859	0.01272389135	0.3829208957	0.4942715062
189	9.881023996e-05	0.0127408397	0.3810239739	0.4926227358
190	9.741355586e-05	0.012772078	0.3783822219	0.4894851791
191	9.602318675e-05	0.01244002103	0.3832410442	0.493691704
192	9.463928512e-05	0.01206546965	0.3829519749	0.4922344208
193	9.326200272e-05	0.01242027323	0.3831657701	0.4944959852
194	9.189149059e-05	0.01268515708	0.3764676253	0.4904034191
195	9.052789902e-05	0.01210104798	0.3817809926	0.4941188176
196	8.917137754e-05	0.01217648635	0.3822918018	0.4943143103
197	8.782207491e-05	0.01114118821	0.3793599579	0.4912999789
198	8.648013909e-05	0.01095962929	0.388736052	0.4992190043
199	8.514571726e-05	0.01022190677	0.3898203002	0.5005002605
200	8.381895573e-05	0.01329055597	0.372261005	0.4849635336
201	8.25e-05	0.01219557245	0.3890674114	0.5001602756
202	8.118899472e-05	0.0107601438	0.384207707	0.495549896
203	7.988608364e-05	0.01117804985	0.3830721007	0.4930006716
204	7.859140965e-05	0.01191685259	0.3876007875	0.4970701959
205	7.730511473e-05	0.01055190918	0.3851258384	0.4951954842
206	7.602733992e-05	0.009466179505	0.3838065889	0.4943538878
207	7.475822536e-05	0.009222771089	0.3862872124	0.4966023869
208	7.349791021e-05	0.009175941963	0.3842200518	0.4950358073
209	7.224653269e-05	0.008824419378	0.3865738975	0.4970839077
210	7.100423001e-05	0.008682942825	0.3850167566	0.4968438148
211	6.977113842e-05	0.009015874194	0.383157497	0.4938394229
212	6.854739313e-05	0.008446038549	0.3868372069	0.497761186
213	6.733312834e-05	0.008181808199	0.3862432586	0.4976068921
214	6.612847722e-05	0.009076276844	0.3849415037	0.4970403724
215	6.493357186e-05	0.009142195441	0.3834043079	0.4957680066
216	6.37485433e-05	0.008581643228	0.3832255814	0.4946707408
217	6.257352149e-05	0.008078311133	0.3867426793	0.4972666423
218	6.140863528e-05	0.008155582458	0.3798277484	0.492558935
219	6.025401242e-05	0.008248000041	0.3833034462	0.4955999798
220	5.910977953e-05	0.008038042184	0.3829981698	0.4953477859
221	5.797606208e-05	0.007800151175	0.3820988602	0.4955731445
222	5.68529844e-05	0.007443315359	0.3845514562	0.4955406189
223	5.574066964e-05	0.007624084246	0.3839729071	0.4944586224
224	5.463923979e-05	0.007453362577	0.3844692707	0.4950085746
225	5.354881563e-05	0.007187770228	0.3833247052	0.4934861819
226	5.246951673e-05	0.007239089056	0.3839582072	0.4940734863
227	5.140146145e-05	0.006876297352	0.3848273913	0.4950224664
228	5.034476693e-05	0.006748182243	0.3856383853	0.4957677099
229	4.929954902e-05	0.006634342874	0.3854904175	0.4954438157
230	4.826592237e-05	0.006496634599	0.3863875336	0.4964462704
231	4.724400031e-05	0.006319634483	0.3841846095	0.4947715018
232	4.62338949e-05	0.006250101989	0.3860112561	0.4961045053
233	4.523571693e-05	0.006146088158	0.3848069509	0.4952663475
234	4.424957585e-05	0.006138174655	0.387610213	0.4974260224
235	4.32755798e-05	0.006115989711	0.3852041986	0.496047963
236	4.231383559e-05	0.00617873139	0.3849510352	0.4956575606
237	4.136444869e-05	0.00606690124	0.3854595688	0.4961864895
238	4.042752321e-05	0.006042061129	0.3850690524	0.4955459012
239	3.950316189e-05	0.006020419341	0.3845824613	0.4954458767
240	3.85914661e-05	0.006026746823	0.3853909122	0.4962093989
241	3.769253582e-05	0.005875562318	0.3859342946	0.4963509666
242	3.680646962e-05	0.005823464885	0.3867445787	0.4968830109
243	3.593336468e-05	0.005795078624	0.38719617	0.4974218527
244	3.507331673e-05	0.005638219474	0.3845907529	0.4955469449
245	3.42264201e-05	0.005605670748	0.3869396766	0.4974334399
246	3.339276765e-05	0.005584568867	0.386078167	0.496747356
247	3.25724508e-05	0.00549166107	0.3876600477	0.4978011131
248	3.176555952e-05	0.005414075937	0.386679848	0.4970684846
249	3.097218228e-05	0.005466231137	0.3874423292	0.4980889267
250	3.019240608e-05	0.00552478899	0.3859407478	0.4970454587
251	2.942631645e-05	0.005475345479	0.3863386896	0.4969665103
252	2.867399739e-05	0.005309306446	0.3871177223	0.4980180369
253	2.793553139e-05	0.005363103608	0.387311493	0.4980082883
254	2.721099945e-05	0.005332072794	0.3872871372	0.4977234311
255	2.650048101e-05	0.005271248393	0.3876999484	0.4980459372
256	2.580405399e-05	0.005172724899	0.3868282715	0.4976912287
257	2.512179477e-05	0.005131446972	0.3877477328	0.4979970614
258	2.445377815e-05	0.00510630332	0.3876517349	0.4980650054
259	2.380007739e-05	0.005051190824	0.3876377636	0.4978293472
260	2.316076419e-05	0.005012646987	0.3876314269	0.4979633013
261	2.253590864e-05	0.004960141003	0.3864466455	0.4972142484
262	2.192557928e-05	0.004967143428	0.3861750285	0.4975682365
263	2.132984302e-05	0.004949502582	0.3859670666	0.4975138717
264	2.07487652e-05	0.004919437604	0.3877261162	0.4984768867
265	2.018240955e-05	0.004902054821	0.3877817737	0.4984212822
266	1.963083816e-05	0.004857711068	0.3874794324	0.498046324
267	1.909411152e-05	0.004846258066	0.3877010425	0.4983914428
268	1.85722885e-05	0.004863079175	0.3874985298	0.4979808013
269	1.806542632e-05	0.004813899826	0.3877312925	0.4981663492
270	1.757358055e-05	0.004807931894	0.3878225591	0.4981314553
271	1.709680514e-05	0.004755493311	0.3870525254	0.4975153393
272	1.663515237e-05	0.004811098918	0.387698555	0.4984641552
273	1.618867286e-05	0.004787713992	0.3877063327	0.4983057234
274	1.575741558e-05	0.004751883975	0.3877585544	0.4981786781
275	1.534142781e-05	0.00471684713	0.388074451	0.4984029558
276	1.494075519e-05	0.004682667916	0.3881727854	0.4985826386
277	1.455544164e-05	0.004628363873	0.3870959626	0.4977012687
278	1.418552941e-05	0.004608825794	0.3870406893	0.4976707458
279	1.383105908e-05	0.004588299198	0.3882677131	0.4986802207
280	1.349206952e-05	0.004561905074	0.3875271267	0.498033407
281	1.316859789e-05	0.004541267383	0.3868312412	0.4975815455
282	1.286067968e-05	0.00457166576	0.387476937	0.4981077936
283	1.256834864e-05	0.004550863401	0.3877063857	0.4980871412
284	1.229163684e-05	0.004509828677	0.3866865079	0.4972297139
285	1.203057462e-05	0.004494866384	0.3867633263	0.4972829819
286	1.178519061e-05	0.004473609856	0.3885709445	0.4985953013
287	1.155551172e-05	0.004462632353	0.3885854456	0.498594994
288	1.134156313e-05	0.00444593609	0.3869544268	0.4972862138
289	1.114336831e-05	0.004428233792	0.3873871379	0.4976502101
290	1.096094899e-05	0.004416366464	0.388134053	0.4982834604
291	1.079432517e-05	0.004454401178	0.3889450444	0.499099191
292	1.064351513e-05	0.004409615898	0.3882700178	0.498422824
293	1.050853541e-05	0.004425629154	0.3894686593	0.4995189031
294	1.03894008e-05	0.004395711087	0.3879208194	0.4982846578
295	1.028612438e-05	0.004387030819	0.3883832561	0.4985050148
296	1.019871746e-05	0.004376932099	0.3889424721	0.4985957993
297	1.012718964e-05	0.00435939307	0.3896485964	0.4993248198
298	1.007154875e-05	0.004350672968	0.3874561866	0.4977683491
299	1.00318009e-05	0.004333654873	0.3888284683	0.4989606804
300	1.000795044e-05	0.004299671214	0.3883739365	0.4985991001
