appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1127500,1127500_20229,1127500_Mini Motorways.txt,all,1127500_20229,,,,
1128860,1128860_5460,1128860_Men of War II.txt,all,1128860_5460,,,,
1129580,1129580_41471,1129580_Medieval Dynasty.txt,all,1129580_41471,,,,
1135300,1135300_5180,1135300_King's Bounty II.txt,all,1135300_5180,,,,
1135690,1135690_32680,1135690_Unpacking.txt,all,1135690_32680,,,,
1136370,1136370_4624,1136370_Bear and Breakfast.txt,all,1136370_4624,,,,
1137300,1137300_3360,1137300_Sherlock Holmes Chapter One.txt,all,1137300_3360,,,,
1138660,1138660_5670,1138660_Black Book.txt,all,1138660_5670,,,,
1139900,1139900_19320,1139900_Ghostrunner.txt,all,1139900_19320,,,,
1140290,1140290_1513,1140290_Murder by Numbers.txt,all,1140290_1513,,,,
1143810,1143810_3491,1143810_Black Skylands.txt,all,1143810_3491,,,,
1144200,1144200_80780,1144200_Ready or Not.txt,all,1144200_80780,,,,
1145350,1145350_50050,1145350_Hades II.txt,all,1145350_50050,,,,
1145360,1145360_56360,1145360_Hades.txt,all,1145360_56360,,,,
1145960,1145960_5728,1145960_The White Door.txt,all,1145960_5728,,,,
1146310,1146310_1382,1146310_Beyond a Steel Sky.txt,all,1146310_1382,,,,
1147550,1147550_11078,1147550_Not For Broadcast.txt,all,1147550_11078,,,,
1147860,1147860_3675,1147860_UFO 50.txt,all,1147860_3675,,,,
1148590,1148590_7255,1148590_DOOM 64.txt,all,1148590_7255,,,,
1148760,1148760_3360,1148760_I Was a Teenage Exocolonist.txt,all,1148760_3360,,,,
1150080,1150080_7309,1150080_Azur Lane Crosswave.txt,all,1150080_7309,,,,
1150440,1150440_11610,1150440_Aliens - Dark Descent.txt,all,1150440_11610,,,,
1150530,1150530_3004,1150530_Wizard with a Gun.txt,all,1150530_3004,,,,
1150690,1150690_74532,1150690_OMORI.txt,all,1150690_74532,,,,
1150760,1150760_5674,1150760_Gloomwood.txt,all,1150760_5674,,,,
1150950,1150950_2354,1150950_Timelie.txt,all,1150950_2354,,,,
1151340,1151340_65640,1151340_Fallout 76.txt,all,1151340_65640,,,,
1151640,1151640_8290,1151640_Horizon Zero Dawn Complete Edition.txt,all,1151640_8290,,,,
1152340,1152340_1919,1152340_Book of Travels.txt,all,1152340_1919,,,,
1153640,1153640_3722,1153640_Chorus.txt,all,1153640_3722,,,,
1154790,1154790_1335,1154790_XIII.txt,all,1154790_1335,,,,
1154810,1154810_3583,1154810_Going Under.txt,all,1154810_3583,,,,
1154840,1154840_1353,1154840_Shadow Empire.txt,all,1154840_1353,,,,
1155970,1155970_3749,1155970_Roadwarden.txt,all,1155970_3749,,,,
1157220,1157220_1663,1157220_Nebuchadnezzar.txt,all,1157220_1663,,,,
1157390,1157390_6381,1157390_King Arthur - Knight's Tale.txt,all,1157390_6381,,,,
1158160,1158160_19474,1158160_Coral Island.txt,all,1158160_19474,,,,
1158310,1158310_114710,1158310_Crusader Kings III.txt,all,1158310_114710,,,,
1158370,1158370_3843,1158370_Aragami 2.txt,all,1158370_3843,,,,
1158850,1158850_7429,1158850_The Great Ace Attorney Chronicles.txt,all,1158850_7429,,,,
1160220,1160220_3794,1160220_Paradise Killer.txt,all,1160220_3794,,,,
1161580,1161580_19510,1161580_Hardspace - Shipbreaker.txt,all,1161580_19510,,,,
1163550,1163550_5359,1163550_Captain Tsubasa - Rise of New Champions.txt,all,1163550_5359,,,,
1164940,1164940_10933,1164940_Trepang2.txt,all,1164940_10933,,,,
1166290,1166290_6129,1166290_Death and Taxes.txt,all,1166290_6129,,,,
1167630,1167630_100003,1167630_Teardown.txt,all,1167630_100003,,,,
1170950,1170950_12464,1170950_Mortal Online 2.txt,all,1170950_12464,,,,
1171690,1171690_22745,1171690_Wayfinder.txt,all,1171690_22745,,,,
1172450,1172450_7999,1172450_Carto.txt,all,1172450_7999,,,,
1172470,1172470_50120,1172470_Apex Legends.txt,all,1172470_50120,,,,
1173770,1173770_4320,1173770_FINAL FANTASY.txt,all,1173770_4320,,,,
1173780,1173780_2330,1173780_FINAL FANTASY II.txt,all,1173780_2330,,,,
1173790,1173790_1989,1173790_FINAL FANTASY III.txt,all,1173790_1989,,,,
1173800,1173800_2156,1173800_FINAL FANTASY IV.txt,all,1173800_2156,,,,
1173810,1173810_1738,1173810_FINAL FANTASY V.txt,all,1173810_1738,,,,
1173820,1173820_3396,1173820_FINAL FANTASY VI.txt,all,1173820_3396,,,,
1176470,1176470_6007,1176470_Terra Invicta.txt,all,1176470_6007,,,,
1177980,1177980_7488,"1177980_Little Kitty, Big City.txt",all,1177980_7488,,,,
1178830,1178830_38001,1178830_Bright Memory - Infinite.txt,all,1178830_38001,,,,
1179210,1179210_4631,1179210_Kill It With Fire.txt,all,1179210_4631,,,,
1179680,1179680_2164,1179680_Wurm Online.txt,all,1179680_2164,,,,
1180660,1180660_13083,1180660_Tell Me Why.txt,all,1180660_13083,,,,
1182310,1182310_2113,1182310_The Excavation of Hob's Barrow.txt,all,1182310_2113,,,,
1182620,1182620_11227,1182620_Impostor Factory.txt,all,1182620_11227,,,,
1182900,1182900_18066,1182900_A Plague Tale - Requiem.txt,all,1182900_18066,,,,
1184050,1184050_7067,1184050_Gears Tactics.txt,all,1184050_7067,,,,
1184140,1184140_5300,1184140_KartRider - Drift.txt,all,1184140_5300,,,,
1186640,1186640_4980,1186640_Pumpkin Jack.txt,all,1186640_4980,,,,
1190000,1190000_26728,1190000_Car Mechanic Simulator 2021.txt,all,1190000_26728,,,,
1190970,1190970_8810,1190970_House Flipper 2.txt,all,1190970_8810,,,,
1191630,1191630_1681,1191630_Shantae and the Seven Sirens.txt,all,1191630_1681,,,,
1194630,1194630_8348,1194630_The Dark Pictures Anthology - Little Hope.txt,all,1194630_8348,,,,
1194810,1194810_3340,1194810_Meet Your Maker.txt,all,1194810_3340,,,,
1196090,1196090_2357,1196090_Scars Above.txt,all,1196090_2357,,,,
1196590,1196590_113043,1196590_Resident Evil Village.txt,all,1196590_113043,,,,
1198090,1198090_2110,1198090_The Legend of Heroes - Trails of Cold Steel IV.txt,all,1198090_2110,,,,
1199030,1199030_7323,1199030_Tainted Grail - Conquest.txt,all,1199030_7323,,,,
1201270,1201270_5269,1201270_A Space for the Unbound.txt,all,1201270_5269,,,,
1202130,1202130_10155,1202130_Starship Troopers - Terran Command.txt,all,1202130_10155,,,,
1202200,1202200_1825,1202200_Paleo Pines.txt,all,1202200_1825,,,,
1202900,1202900_7556,1202900_Assemble with Care.txt,all,1202900_7556,,,,
1203620,1203620_61217,1203620_Enshrouded.txt,all,1203620_61217,,,,
1203710,1203710_2650,1203710_UnMetal.txt,all,1203710_2650,,,,
1205520,1205520_6768,1205520_Pentiment.txt,all,1205520_6768,,,,
1207650,1207650_8012,1207650_Suzerain.txt,all,1207650_8012,,,,
1210320,1210320_6840,1210320_Potion Craft - Alchemist Simulator.txt,all,1210320_6840,,,,
1213210,1213210_31741,1213210_Command & Conquer Remastered Collection.txt,all,1213210_31741,,,,
1213700,1213700_4611,1213700_Spirit of the North.txt,all,1213700_4611,,,,
1216060,1216060_4129,1216060_DNF Duel.txt,all,1216060_4129,,,,
1217060,1217060_53260,1217060_Gunfire Reborn.txt,all,1217060_53260,,,,
12210,12210_58809,12210_Grand Theft Auto IV - The Complete Edition.txt,all,12210_58809,,,,
1221250,1221250_2328,1221250_NORCO.txt,all,1221250_2328,,,,
1222140,1222140_139442,1222140_Detroit - Become Human.txt,all,1222140_139442,,,,
1222370,1222370_2014,1222370_Necromunda - Hired Gun.txt,all,1222370_2014,,,,
1222670,1222670_9140,1222670_The Sims 4.txt,all,1222670_9140,,,,
1222680,1222680_4350,1222680_Need for Speed Heat.txt,all,1222680_4350,,,,
1222690,1222690_18338,1222690_Dragon Age Inquisition.txt,all,1222690_18338,,,,
1222700,1222700_1910,1222700_A Way Out.txt,all,1222700_1910,,,,
1225560,1225560_4765,1225560_Unravel.txt,all,1225560_4765,,,,
1225570,1225570_6759,1225570_Unravel Two.txt,all,1225570_6759,,,,
1225590,1225590_1942,1225590_Sea of Solitude.txt,all,1225590_1942,,,,
1227530,1227530_7844,1227530_Partisans 1941.txt,all,1227530_7844,,,,
1227780,1227780_1883,1227780_Taur.txt,all,1227780_1883,,,,
1228520,1228520_2762,1228520_[Chilla's Art] The Convenience Store _ 夜勤事件.txt,all,1228520_2762,,,,
1229380,1229380_12499,1229380_Everhood.txt,all,1229380_12499,,,,
1229490,1229490_53960,1229490_ULTRAKILL.txt,all,1229490_53960,,,,
1230140,1230140_19645,1230140_ATRI -My Dear Moments-.txt,all,1230140_19645,,,,
1231990,1231990_1077,1231990_Gestalt - Steam & Cinder.txt,all,1231990_1077,,,,
1233570,1233570_14371,1233570_Mirror's Edge Catalyst.txt,all,1233570_14371,,,,
1235140,1235140_30755,1235140_Yakuza - Like a Dragon.txt,all,1235140_30755,,,,
1236300,1236300_4308,1236300_Resident Evil Re -Verse.txt,all,1236300_4308,,,,
1237320,1237320_22456,1237320_Sonic Frontiers.txt,all,1237320_22456,,,,
1237970,1237970_14029,1237970_Titanfall 2.txt,all,1237970_14029,,,,
1238060,1238060_11795,1238060_Dead Space 3.txt,all,1238060_11795,,,,
1238080,1238080_6713,1238080_Burnout Paradise Remastered.txt,all,1238080_6713,,,,
1238810,1238810_76940,1238810_Battlefield V.txt,all,1238810_76940,,,,
1238820,1238820_13274,1238820_Battlefield 3.txt,all,1238820_13274,,,,
1238840,1238840_163755,1238840_Battlefield 1.txt,all,1238840_163755,,,,
1238860,1238860_49190,1238860_Battlefield 4.txt,all,1238860_49190,,,,
1238880,1238880_3484,1238880_Battlefield Hardline.txt,all,1238880_3484,,,,
1239080,1239080_8191,1239080_Door Kickers 2 - Task Force North.txt,all,1239080_8191,,,,
1239520,1239520_5180,1239520_Madden NFL 21.txt,all,1239520_5180,,,,
1239690,1239690_15050,1239690_Retrowave.txt,all,1239690_15050,,,,
1240210,1240210_22408,1240210_There Is No Game - Wrong Dimension.txt,all,1240210_22408,,,,
1240440,1240440_18970,1240440_Halo Infinite.txt,all,1240440_18970,,,,
1243830,1243830_5093,1243830_Overcooked! All You Can Eat.txt,all,1243830_5093,,,,
1244090,1244090_11218,1244090_Sea of Stars.txt,all,1244090_11218,,,,
1244460,1244460_31937,1244460_Jurassic World Evolution 2.txt,all,1244460_31937,,,,
1244950,1244950_1976,1244950_Battletoads.txt,all,1244950_1976,,,,
1245560,1245560_3400,1245560_Roots of Pacha.txt,all,1245560_3400,,,,
1248130,1248130_7880,1248130_Farming Simulator 22.txt,all,1248130_7880,,,,
1249040,1249040_2688,1249040_American Arcadia.txt,all,1249040_2688,,,,
1249970,1249970_7353,1249970_Test Drive Unlimited Solar Crown.txt,all,1249970_7353,,,,
1253920,1253920_14141,1253920_Rogue Legacy 2.txt,all,1253920_14141,,,,
1254120,1254120_29820,1254120_Bless Unleashed.txt,all,1254120_29820,,,,
1257290,1257290_3383,1257290_Atelier Ryza 2 - Lost Legends & the Secret Fairy.txt,all,1257290_3383,,,,
1259420,1259420_49079,1259420_Days Gone.txt,all,1259420_49079,,,,
1260320,1260320_34080,1260320_Party Animals.txt,all,1260320_34080,,,,
1260520,1260520_3670,1260520_Patrick's Parabox.txt,all,1260520_3670,,,,
1262240,1262240_11390,1262240_Plants vs. Zombies - Battle for Neighborville.txt,all,1262240_11390,,,,
1262350,1262350_14960,1262350_SIGNALIS.txt,all,1262350_14960,,,,
1262540,1262540_20705,1262540_Need for Speed.txt,all,1262540_20705,,,,
1262560,1262560_20227,1262560_Need for Speed Most Wanted.txt,all,1262560_20227,,,,
1262580,1262580_27466,1262580_Need for Speed Payback.txt,all,1262580_27466,,,,
1262600,1262600_7904,1262600_Need for Speed Rivals.txt,all,1262600_7904,,,,
1263850,1263850_23896,1263850_Football Manager 2021.txt,all,1263850_23896,,,,
1264280,1264280_2055,1264280_Slipways.txt,all,1264280_2055,,,,
1265820,1265820_2885,1265820_Fights in Tight Spaces.txt,all,1265820_2885,,,,
1266030,1266030_1727,1266030_The Pale Beyond.txt,all,1266030_1727,,,,
1266700,1266700_2572,1266700_Destroy All Humans! 2 - Reprobed.txt,all,1266700_2572,,,,
1268590,1268590_3319,1268590_Millennia.txt,all,1268590_3319,,,,
1268750,1268750_29644,1268750_Starship Troopers - Extermination.txt,all,1268750_29644,,,,
1269640,1269640_3067,1269640_Beacon Pines.txt,all,1269640_3067,,,,
1269950,1269950_3764,1269950_Buddy Simulator 1984.txt,all,1269950_3764,,,,
1272080,1272080_55309,1272080_PAYDAY 3.txt,all,1272080_55309,,,,
1272160,1272160_7737,1272160_The Life and Suffering of Sir Brante.txt,all,1272160_7737,,,,
1273710,1273710_8900,1273710_King of Crabs.txt,all,1273710_8900,,,,
1276790,1276790_10542,1276790_Ruined King - A League of Legends Story.txt,all,1276790_10542,,,,
1277400,1277400_15657,1277400_Monster Hunter Stories 2 - Wings of Ruin.txt,all,1277400_15657,,,,
1279630,1279630_1398,1279630_Vampire - The Masquerade - Shadows of New York.txt,all,1279630_1398,,,,
1281590,1281590_8094,1281590_The Dark Pictures Anthology - House of Ashes.txt,all,1281590_8094,,,,
1282150,1282150_3166,1282150_SpongeBob SquarePants - The Cosmic Shake.txt,all,1282150_3166,,,,
1282410,1282410_2652,1282410_Hard West 2.txt,all,1282410_2652,,,,
1282590,1282590_8091,1282590_Train Sim World 2.txt,all,1282590_8091,,,,
1282690,1282690_5495,1282690_Crysis 3.txt,all,1282690_5495,,,,
1282730,1282730_33921,1282730_Loop Hero.txt,all,1282730_33921,,,,
1283190,1283190_4006,1283190_Neighbours back From Hell.txt,all,1283190_4006,,,,
1283400,1283400_4828,1283400_Steelrising.txt,all,1283400_4828,,,,
1283410,1283410_10804,1283410_Tails of Iron.txt,all,1283410_10804,,,,
1284190,1284190_45824,1284190_The Planet Crafter.txt,all,1284190_45824,,,,
1284210,1284210_18762,1284210_Guild Wars 2.txt,all,1284210_18762,,,,
1286320,1286320_4148,1286320_Exoprimal.txt,all,1286320_4148,,,,
1286580,1286580_3720,1286580_Ship of Fools.txt,all,1286580_3720,,,,
1286680,1286680_19877,1286680_Tiny Tina's Wonderlands.txt,all,1286680_19877,,,,
1286710,1286710_2609,1286710_Hylics 2.txt,all,1286710_2609,,,,
1289310,1289310_122135,1289310_Helltaker.txt,all,1289310_122135,,,,
1292040,1292040_2182,1292040_STRIDE.txt,all,1292040_2182,,,,
1293830,1293830_263270,1293830_Forza Horizon 4.txt,all,1293830_263270,,,,
1294420,1294420_1963,1294420_Rollerdrome.txt,all,1294420_1963,,,,
1294810,1294810_4353,1294810_Redfall.txt,all,1294810_4353,,,,
1295500,1295500_5054,"1295500_Warhammer 40,000 - Battlesector.txt",all,1295500_5054,,,,
1295920,1295920_6901,1295920_The Mortuary Assistant.txt,all,1295920_6901,,,,
1296610,1296610_13727,1296610_Peglin.txt,all,1296610_13727,,,,
1297300,1297300_1704,1297300_The Shore.txt,all,1297300_1704,,,,
1304930,1304930_57600,1304930_The Outlast Trials.txt,all,1304930_57600,,,,
1306630,1306630_5223,1306630_Lost Ruins.txt,all,1306630_5223,,,,
1307710,1307710_2998,1307710_GRID Legends.txt,all,1307710_2998,,,,
1310330,1310330_1507,1310330_Goodbye Volcano High.txt,all,1310330_1507,,,,
1310410,1310410_2560,1310410_Alone in the Dark.txt,all,1310410_2560,,,,
1313140,1313140_55710,1313140_Cult of the Lamb.txt,all,1313140_55710,,,,
1313860,1313860_25945,1313860_EA SPORTS FIFA 21.txt,all,1313860_25945,,,,
1314000,1314000_1637,1314000_Achilles - Legends Untold.txt,all,1314000_1637,,,,
1321440,1321440_1740,1321440_Cassette Beasts.txt,all,1321440_1740,,,,
1321680,1321680_3179,1321680_Hello Neighbor 2.txt,all,1321680_3179,,,,
1324130,1324130_9079,1324130_Stranded - Alien Dawn.txt,all,1324130_9079,,,,
1324340,1324340_1628,1324340_Made in Abyss - Binary Star Falling into Darkness.txt,all,1324340_1628,,,,
1324780,1324780_5435,1324780_Easy Red 2.txt,all,1324780_5435,,,,
1328660,1328660_10273,1328660_Need for Speed Hot Pursuit Remastered.txt,all,1328660_10273,,,,
1328670,1328670_19939,1328670_Mass Effect Legendary Edition.txt,all,1328670_19939,,,,
1328840,1328840_6165,1328840_Lost in Play.txt,all,1328840_6165,,,,
1329880,1329880_1872,1329880_Wild West Dynasty.txt,all,1329880_1872,,,,
1330470,1330470_6244,1330470_F.I.S.T. - Forged In Shadow Torch.txt,all,1330470_6244,,,,
1332010,1332010_56000,1332010_Stray.txt,all,1332010_56000,,,,
1335200,1335200_18145,1335200_Action Taimanin.txt,all,1335200_18145,,,,
1335790,1335790_7598,1335790_Operation - Tango.txt,all,1335790_7598,,,,
1336490,1336490_26730,1336490_Against the Storm.txt,all,1336490_26730,,,,
1337010,1337010_6097,1337010_Alba - A Wildlife Adventure.txt,all,1337010_6097,,,,
1337520,1337520_27372,1337520_Risk of Rain Returns.txt,all,1337520_27372,,,,
1337760,1337760_4327,1337760_Potion Permit.txt,all,1337760_4327,,,,
1338770,1338770_11604,1338770_Sniper Ghost Warrior Contracts 2.txt,all,1338770_11604,,,,
1340480,1340480_3950,1340480_The Cosmic Wheel Sisterhood.txt,all,1340480_3950,,,,
1341290,1341290_14541,1341290_We Were Here Forever.txt,all,1341290_14541,,,,
